metric_id,metric_name,observable,description,dam_id,desired_trend,slope,slope_norm,capital - primary,is_key
33707243a_metr,Official Development Assistance [In percent],Official Development Assistance,In proportion to gross national income (GNI),33707243,up,0.023561013534076008,0.023561013534076008,Economic,True
33188969b_metr,NEET rate by sex [Women],NEET rate by sex,Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,33188969,down,-0.0229268506735502,0.0229268506735502,Human,True
33188698a_metr,Renewable energies [In percent],Renewable energies,In relation to final energy consumption,33188698,up,0.021937851732358373,0.021937851732358373,Natural,True
33188602b_metr,Years of potential life lost [Men],Years of potential life lost,"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",33188602,down,-0.020627654920804785,0.020627654920804785,Human,True
33188602a_metr,Years of potential life lost [Women],Years of potential life lost,"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",33188602,down,-0.018010216945652788,0.018010216945652788,Human,True
33188804a_metr,Duty-free imports from developing countries [Middle-income countries],Duty-free imports from developing countries,Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,33188804,up,0.017172054685696245,0.017172054685696245,Economic,True
33188945a_metr,Wage gap between women and men [In percent],Wage gap between women and men,"Wage gap¹ between women and men as a percentage of men's monthly gross wage, private sector",33188945,down,-0.0167135798341046,0.0167135798341046,Social,True
33188804b_metr,Duty-free imports from developing countries [Least developed countries],Duty-free imports from developing countries,Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,33188804,up,0.01667125031370776,0.01667125031370776,Economic,True
33188757a_metr,Material intensity [Index 2000 = 100],Material intensity,Raw material consumption (RMC) to Gross Domestic Product ratio,33188757,down,-0.016453461843985922,0.016453461843985922,Natural,True
33188967a_metr,NEET: Young people neither in employment nor in training [In percent],NEET: Young people neither in employment nor in training,Percentage of not employed young people aged 15 to 29 who are not in education or training,33188967,down,-0.013543179690946996,0.013543179690946996,Human,True
14711940a_metr,Nitrogen load exported [Thousand tonnes],Nitrogen load exported,Total nitrogen load on the Rhine at Basel,14711940,down,-0.013439804050664389,0.013439804050664389,Natural,True
33188724a_metr,Labour productivity [Index 1991=100],Labour productivity,Hourly labour productivity growth at previous year’s prices,33188724,up,0.013339194668055778,0.013339194668055778,Human,True
33188784a_metr,Distribution of equivalised disposable income (S80/S20) [Data],Distribution of equivalised disposable income (S80/S20),People living in working households,33188784,up,0.012205329733745088,0.012205329733745088,Economic,True
28325089a_metr,Greenhouse gas footprint per person [t CO2 eq],Greenhouse gas footprint per person,Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,28325089,down,-0.010636544353440119,0.010636544353440119,Natural,True
33188914b_metr,Violent offences by sex [Men],Violent offences by sex,Number of victims for completed serious violent offences¹ known to the police,33188914,down,-0.007301147605856643,0.007301147605856643,Social,True
33188590a_metr,Nitrogen balance from agriculture [Thousand tonnes],Nitrogen balance from agriculture,Difference between the quantities of nitrogen entering cultivated land and those extracted from it,33188590,down,-0.007153561185941504,0.007153561185941504,Natural,True
28325090a_metr,Greenhouse gas footprint of food per person [t CO2 eq],Greenhouse gas footprint of food per person,Greenhouse gas emissions from food consumption in Switzerland,28325090,down,-0.007086557285764471,0.007086557285764471,Natural,True
33188661a_metr,Nitrate in groundwater [In percent],Nitrate in groundwater,Percentage of monitoring sites with exceedances of nitrate level requirements (25 mg/l),33188661,down,-0.006212121212121399,0.006212121212121399,Natural,True
33188873a_metr,Greenhouse gas emissions [Greenhouse gas emissions],Greenhouse gas emissions,CO2 equivalents without the carbon sink effect from the forest - Millions tonnes,33188873,down,-0.005953756075026667,0.005953756075026667,Natural,True
33188571a_metr,Poverty rate by sex [Women],Poverty rate by sex,Share of people affected by income poverty in the permanent resident population living in private households - In percent,33188571,down,-0.0032672764877043872,0.0032672764877043872,Social,True
28325075a_metr,Greenhouse gas footprint [Millions t CO2 eq],Greenhouse gas footprint,Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,28325075,down,-0.0023822993179455163,0.0023822993179455163,Natural,True
33188969a_metr,NEET rate by sex [Men],NEET rate by sex,Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,33188969,down,-0.000956163175035202,0.000956163175035202,Human,True
33188898a_metr,Populations of breeding birds [Index 1990 = 100],Populations of breeding birds,Trend in breeding bird populations from the Red List,33188898,up,-0.0008886432834002389,-0.0008886432834002389,Natural,True
33188530a_metr,Poverty rate [In percent],Poverty rate,Share of people affected by income poverty in the permanent resident population living in private households,33188530,down,0.0019284022676515301,-0.0019284022676515301,Social,True
33188571b_metr,Poverty rate by sex [Men],Poverty rate by sex,Share of people affected by income poverty in the permanent resident population living in private households - In percent,33188571,down,0.00868342852049955,-0.00868342852049955,Social,True
33188653b_metr,Domestic violence by sex [Men],Domestic violence by sex,Number of victims of serious physical domestic violence recorded by the police,33188653,down,0.012619047619048647,-0.012619047619048647,Social,True
33188644a_metr,Domestic violence [Data],Domestic violence,Number of victims of serious physical domestic violence recorded by the police,33188644,down,0.01322188449848101,-0.01322188449848101,Social,True
33188653a_metr,Domestic violence by sex [Women],Domestic violence by sex,Number of victims of serious physical domestic violence recorded by the police,33188653,down,0.01350446428571492,-0.01350446428571492,Social,True
33188910a_metr,Violent offences  [Data],Violent offences ,Number of victims for completed serious violent offences¹ known to the police,33188910,down,0.014155174722186682,-0.014155174722186682,Social,True
33188914a_metr,Violent offences by sex [Women],Violent offences by sex,Number of victims for completed serious violent offences¹ known to the police,33188914,down,0.02512646701740428,-0.02512646701740428,Social,True
33188856a_metr,Total municipal waste generation [Million tonnes],Total municipal waste generation,Incl. recycling,33188856,down,0.028027615251989463,-0.028027615251989463,Natural,True
