metric,test,p,"max(test, p=10%)"
33188530a_metr,-5.109768210545282,1.3398623448130774e-05,-2.5760266680839004
33188571a_metr,-5.14270810846445,1.1496251312938609e-05,-2.5760266680839004
33188571b_metr,-4.697547192350161,8.505014485605061e-05,-2.576139407751488
33188575a_metr,-6.377017526772135,2.2706189843913258e-08,-2.5707639493486636
33188574a_metr,-11.394214133940368,7.931242115054917e-21,-2.568477099382028
33188590a_metr,-7.127377127754065,3.590919506801903e-10,-2.5709711770439507
33188583a_metr,-3.606963318486012,0.005629290998457527,-2.5726152830188678
33188593a_metr,-3.8223249260031045,0.0026869853473633983,-2.5726152830188678
33188593b_metr,-4.895841316708121,3.5530246686090636e-05,-2.57259315846006
33188593c_metr,-3.2554481931904786,0.016991250922209572,-2.5725712007462582
33188582a_metr,-5.116711708968053,1.297387218488181e-05,-2.5709597356805545
33188602a_metr,-4.733338285914769,7.281961921046201e-05,-2.5709597356805545
33188602b_metr,-7.785028019503073,8.223256204840415e-12,-2.570937038891028
33188939a_metr,-8.109667195108962,1.235578149849369e-12,-2.5692748053002195
33188943a_metr,-7.891907196358942,4.4134732896393456e-12,-2.5692748053002195
33188943b_metr,-10.136562015787044,8.638532908179498e-18,-2.5692748053002195
33188608a_metr,-8.097053964351021,1.3303574675353492e-12,-2.5692545786625383
33188608b_metr,-6.03692266528842,1.3750026677896077e-07,-2.569250572471335
33188617a_metr,-3.9288990947576785,0.0018321652948528543,-2.576139407751488
33188624a_metr,-6.167732487113099,6.924205722982556e-08,-2.5709597356805545
33188624b_metr,-5.332977886615566,4.676986195650467e-06,-2.5709711770439507
33188624c_metr,-5.783536013678698,5.060754349588279e-07,-2.570982681065269
33188624d_metr,-5.46698964546551,2.4462830181902417e-06,-2.570982681065269
33188624e_metr,-5.9344394063495765,2.3389621327461591e-07,-2.570982681065269
33188627a_metr,-4.016190176906604,0.0013280675519423534,-2.5807296460459184
33188627b_metr,-16.782344071199493,1.2612320859130797e-29,-2.579896092790057
33188633a_metr,-5.332922783206724,4.678221283319668e-06,-2.577665408088415
33188637a_metr,-5.0412369118547256,1.837954643188368e-05,-2.577665408088415
33188637b_metr,-5.128654297405323,1.2273580442559029e-05,-2.576878053634677
33188640a_metr,-5.406455148571924,3.2830496848398327e-06,-2.577665408088415
33188640b_metr,-5.68140913856651,8.469517347536624e-07,-2.576878053634677
33188945a_metr,-4.183953762732255,0.0007013439978984564,-2.5716201744283174
33188644a_metr,-5.68289526793358,8.406657781767256e-07,-2.5767469641683105
33188653a_metr,-5.7484503382261,6.044303500385907e-07,-2.576619230892485
33188653b_metr,-7.3776571619254945,8.637078655308564e-11,-2.576139407751488
29946686a_metr,-5.376984985940079,3.7853403988571616e-06,-2.5695409929766093
29946686b_metr,-2.997651028778768,0.03511434769110035,-2.5692748053002195
33188658a_metr,-5.776689195210143,5.239517358615747e-07,-2.5786771965503177
33188658b_metr,-5.776379629873101,5.247743983243324e-07,-2.5786771965503177
33188661a_metr,-17.822185428395013,3.1577489818821076e-30,-2.5760826967621644
33188669a_metr,-5.491437637786,2.170769049293597e-06,-2.569733131582922
33188670a_metr,-5.983558817537246,1.8144460979691912e-07,-2.5698704830567247
33188670b_metr,-7.136610497643631,3.4081004836086877e-10,-2.5698767442886696
33188685a_metr,-8.187669304297803,7.819900868703061e-13,-2.569851849873108
33188685b_metr,-6.028885258479469,1.433789201055135e-07,-2.5698767442886696
33188685c_metr,-7.708675543674591,1.2811240573183306e-11,-2.569821287318971
33188685d_metr,-7.469210023015826,5.1075699924961754e-11,-2.5698395516760275
33188696a_metr,-7.054155609840223,5.429579935157862e-10,-2.5726375763314966
33188686a_metr,-4.05739612308136,0.001138060535671714,-2.572549407997327
33188698a_metr,-7.9677358792550566,2.835070101815629e-12,-2.57080585953957
33188694a_metr,-5.338966834133748,4.544620202159335e-06,-2.570837873961219
33188700a_metr,-5.1498430879948085,1.1120054093342986e-05,-2.570982681065269
33188724a_metr,-5.349071415914134,4.329493570314863e-06,-2.5709257824604
33188720a_metr,-6.410115655170806,1.9000179867907143e-08,-2.578770059171598
33188723a_metr,-10.512151001058305,1.0179510497649639e-18,-2.5786771965503177
33188723b_metr,-4.287661073154564,0.0004665825132352521,-2.578770059171598
33188726a_metr,-5.638877693079341,1.0476250445717074e-06,-2.573018897632674
29946646a_metr,-3.9053435712338223,0.0019958714207005037,-2.576619230892485
33188729a_metr,-5.032715223128504,1.9111766446890598e-05,-2.571574731684734
33188967a_metr,-4.38148575383431,0.0003200461070209512,-2.5771508444444446
33188969a_metr,-5.785776807689161,5.003555316629181e-07,-2.5777431104939494
33188969b_metr,-4.545985384523744,0.00016225334630850036,-2.576878053634677
33188732a_metr,-6.161654499609902,7.149837459813814e-08,-2.5735414688888465
33188732b_metr,-6.157937309194761,7.291372323165658e-08,-2.5735414688888465
33188732c_metr,-7.565068783048057,2.940486212840125e-11,-2.573601605503697
33188747a_metr,-8.456694134738038,1.607705107747936e-13,-2.5731749894132916
33188762a_metr,-7.559966832308807,3.028337388467139e-11,-2.5731749894132916
33188758a_metr,-7.248555548710903,1.8051780243945764e-10,-2.5708486586002604
33188760a_metr,-6.214194624260726,5.415679071701247e-08,-2.570827146203181
33188760b_metr,-6.6853800377766115,4.239131014302922e-09,-2.5708486586002604
33188763a_metr,-5.501616395933249,2.065187668415735e-06,-2.5714433728242714
33188757a_metr,-3.4634278132455423,0.008977549137351248,-2.5729936189738876
33188793a_metr,-5.0091264154776995,2.1288427048048996e-05,-2.5732834559706235
33188784a_metr,-6.6547637061497085,5.016527914189528e-09,-2.572968544
33188795a_metr,-16.972937450943245,9.130413924704786e-30,-2.579896092790057
33188795b_metr,-5.765048424924376,5.557714004368144e-07,-2.580009026141913
33188792a_metr,-15.605549138652028,1.8066420672009877e-28,-2.579896092790057
33188792b_metr,-5.114960051031578,1.3079781019756724e-05,-2.5812552709190673
33188792c_metr,-6.350226445932798,2.621967535467372e-08,-2.580009026141913
33188792d_metr,-6.129807139541669,8.455437571898747e-08,-2.58139291903223
33707230a_metr,-6.303542579707638,3.3663853590361436e-08,-2.578770059171598
33707230b_metr,-5.623069586692514,1.1334666682556738e-06,-2.5797850694444446
33188804a_metr,-4.325612934895301,0.00040096917304323484,-2.57270548832225
33188804b_metr,-5.215341879104112,8.17965249395498e-06,-2.57270548832225
33707241a_metr,-5.792727084144175,4.830132374297873e-07,-2.572442854861866
33707241b_metr,-4.434914733933312,0.0002573314588089136,-2.5724638500216264
33188818a_metr,-5.632325515460936,1.0824063778305054e-06,-2.5726152830188678
33188819a_metr,-6.926090651514906,1.1143880796187062e-09,-2.569372254520843
33188823a_metr,-6.1362290482904,8.174588180553338e-08,-2.5729189953388762
28325075a_metr,-7.504593864851589,4.166821304906899e-11,-2.572968544
28325089a_metr,-7.068140611985131,5.017952218014388e-10,-2.572968544
28325090a_metr,-5.95776824677174,2.0735634933704644e-07,-2.5732559963936206
33188850a_metr,-4.811755936651307,5.1638600843784905e-05,-2.578495716547007
33188850b_metr,-5.165352167548262,1.0342959414888974e-05,-2.5777431104939494
33188851a_metr,-7.471806667736366,5.0318846691033534e-11,-2.569947324764179
33188856a_metr,-4.789057586251746,5.706879172871366e-05,-2.5699277594606915
33188870a_metr,-3.6240198816909404,0.005318078883253508,-2.5733111490323846
33188873a_metr,-6.801418575061666,2.232068005065161e-09,-2.5709483564645725
14711940a_metr,-6.332850523157126,2.8779021333409e-08,-2.5700280720682227
33188881a_metr,-5.882579867194899,3.053772793794464e-07,-2.5726600403359887
33188880a_metr,-7.611013356010779,2.2551574504623064e-11,-2.570837873961219
33188899a_metr,-4.992658637548679,2.2947726345882687e-05,-2.574124089081557
33188899b_metr,-6.378099281830088,2.2574513224818296e-08,-2.5744164898444515
33188899c_metr,-5.065054158522872,1.6473818499651258e-05,-2.574858699001736
33188898a_metr,-8.70161371517432,3.7958400214838714e-14,-2.5708164748773332
23567403a_metr,-3.494081093429708,0.008140411669637563,-2.5712790073013796
33188909a_metr,-5.092251903948199,1.453072533268398e-05,-2.5785857598714417
33188910a_metr,-6.912770198831016,1.200551192999535e-09,-2.576139407751488
33188914a_metr,-6.344514342842838,2.703528263492682e-08,-2.576139407751488
33188914b_metr,-4.168858854500087,0.0007436049859678613,-2.5763733302850174
33188932a_metr,-4.881967759722504,3.780523845461938e-05,-2.5797850694444446
33188931a_metr,-6.019980786207058,1.5017974286373355e-07,-2.571415151457764
33707243a_metr,-8.109192313927501,1.23902149454745e-12,-2.5708486586002604
33188938a_metr,-3.7369702683451007,0.0036221849631549448,-2.5744932593252643
33188938b_metr,-6.302074994015281,3.392881956035771e-08,-2.574378674548251
